,size,filename,nodes_before_prune,edges_before_prune,time_before_prune,nodes_after_prune,edges_after_prune,time_after_prune
42,11,9.BIFXML,11,25,0.09126163499604445,11,18,0.0813147110020509
43,11,5.BIFXML,11,32,0.09396599399769912,10,26,0.07356499999877997
44,11,7.BIFXML,11,27,0.08533012000407325,10,18,0.06723086700367276
45,11,2.BIFXML,11,21,0.09135440200043377,9,12,0.0599738939999952
46,11,0.BIFXML,11,30,0.09190663600020343,9,19,0.06253051100065932
47,11,8.BIFXML,11,25,0.08422665900434367,10,16,0.06584687199938344
48,11,4.BIFXML,11,33,0.11399291200359585,11,33,0.10861736699735047
49,11,6.BIFXML,11,25,0.0926151769963326,11,24,0.08427590000064811
50,7,3.BIFXML,7,12,0.052911316000972874,6,7,0.03554922300099861
51,7,1.BIFXML,7,13,0.052429087001655716,5,6,0.028481129003921524
52,7,9.BIFXML,7,13,0.04622079899854725,7,13,0.04140727699996205
53,7,5.BIFXML,7,6,0.0434646219946444,5,2,0.026738489003037103
54,7,7.BIFXML,7,9,0.04778764799993951,6,7,0.03744253500190098
55,7,2.BIFXML,7,13,0.047362012999656145,6,9,0.033118352002929896
56,7,0.BIFXML,7,9,0.04803594799886923,3,0,0.014207034997525625
57,7,8.BIFXML,7,11,0.049970995998592116,6,9,0.03409705000376562
58,7,4.BIFXML,7,11,0.04395619400020223,5,5,0.026857056000153534
59,7,6.BIFXML,7,8,0.046330026001669466,7,8,0.040604295005323365
60,29,3.BIFXML,29,194,182.86033908299578,28,145,68.0923329119978
61,29,1.BIFXML,29,205,172.05056703100126,27,139,31.80784429999767
62,29,9.BIFXML,29,217,165.62940084999718,29,184,141.9546333929975
63,29,5.BIFXML,29,196,151.1066879229984,27,126,29.134165668001515
64,29,7.BIFXML,29,187,158.1127239500056,27,130,28.55247024699929
65,29,2.BIFXML,29,204,163.60366450499714,28,163,70.8928155110043
66,29,0.BIFXML,29,201,179.73646747300518,29,157,156.560464174996
67,29,8.BIFXML,29,203,145.9536975890005,28,156,69.74888535000355
68,29,4.BIFXML,29,210,176.70644221900147,28,180,81.27847195399954
69,29,6.BIFXML,29,191,168.44187214499834,28,151,73.85585341999831
70,16,3.BIFXML,16,69,0.34401708399673225,11,26,0.08734033400105545
71,16,1.BIFXML,16,64,0.4647012550049112,16,62,0.4727955070047756
72,16,9.BIFXML,16,63,0.3315397680053138,15,42,0.16864307300420478
73,16,5.BIFXML,16,66,0.24086846000136575,13,40,0.12033205100306077
74,16,7.BIFXML,16,60,0.23888309199537616,9,9,0.07181680999929085
75,16,2.BIFXML,16,61,0.24383277100423584,15,45,0.15503117299522273
76,16,0.BIFXML,16,57,0.26885695200326154,15,49,0.19411657500313595
77,16,8.BIFXML,16,63,0.24107487799483351,13,33,0.10707366599672241
78,16,4.BIFXML,16,65,0.24805715600086842,15,51,0.1746152850028011
79,16,6.BIFXML,16,61,0.25389187400287483,15,46,0.22947683600068558
80,6,3.BIFXML,6,9,0.1407876960001886,4,3,0.03971899799944367
81,6,1.BIFXML,6,8,0.03559087699977681,5,5,0.02720971000235295
