,size,filename,nodes_before_prune,edges_before_prune,time_before_prune,nodes_after_prune,edges_after_prune,time_after_prune
77,16,8.BIFXML,16,63,0.23711235099472106,13,34,0.10660625500895549
78,16,4.BIFXML,16,65,0.3421555590030039,14,34,0.12375457400048617
79,16,6.BIFXML,16,61,0.34297102999698836,16,56,0.26366309099830687
80,6,3.BIFXML,6,9,0.038215288004721515,2,0,0.008941699998104014
81,6,1.BIFXML,6,8,0.10668951401021332,3,1,0.044709663998219185
82,6,9.BIFXML,6,10,0.05362751199572813,5,6,0.03830131200083997
83,6,5.BIFXML,6,9,0.03993885300587863,6,6,0.03713467999477871
84,6,7.BIFXML,6,6,0.03590477199759334,5,3,0.02908496699819807
85,6,2.BIFXML,6,7,0.03521230501064565,2,0,0.007741934998193756
86,6,0.BIFXML,6,9,0.03635048700380139,2,0,0.0074839110020548105
87,6,8.BIFXML,6,7,0.03533373599930201,3,1,0.013812810997478664
88,6,4.BIFXML,6,8,0.1163297749881167,6,8,0.046009128011064604
89,6,6.BIFXML,6,7,0.044581861002370715,6,6,0.044956716999877244
90,28,3.BIFXML,28,186,86.67943230300443,25,130,8.882035639995593
91,28,1.BIFXML,28,200,85.61577650198888,26,146,16.349347815994406
92,28,9.BIFXML,28,189,93.82064488800825,25,118,7.39446341599978
93,28,5.BIFXML,28,182,75.1709561059979,28,147,66.14264143499895
94,28,7.BIFXML,28,211,93.49335457499546,27,159,32.436860129004344
95,28,2.BIFXML,28,176,75.00924576599209,26,126,15.47711329300364
96,28,0.BIFXML,28,177,74.07196631201077,25,126,9.542246166005498
97,28,8.BIFXML,28,193,80.4059314759943,27,136,30.766210223999224
98,28,4.BIFXML,28,188,77.24210789700737,27,139,31.21444735499972
99,28,6.BIFXML,28,173,71.35010199899261,27,136,31.21548829600215
100,17,3.BIFXML,17,84,0.6604102770070313,17,70,0.4161108379921643
101,17,1.BIFXML,17,58,0.2599006119999103,14,35,0.11385635299666319
102,17,9.BIFXML,17,72,0.33086967100098263,15,43,0.15951213199878111
103,17,5.BIFXML,17,71,0.2993117890000576,17,47,0.2360219149995828
104,17,7.BIFXML,17,67,0.4268466680077836,15,47,0.15676248400995973
105,17,2.BIFXML,17,76,0.35866329800046515,14,34,0.12830222699267324
106,17,0.BIFXML,17,66,0.26281026400101837,14,32,0.12758857200969942
107,17,8.BIFXML,17,71,0.33795204100897536,17,54,0.23776249699585605
108,17,4.BIFXML,17,59,0.2547548449947499,15,37,0.14108320599189028
109,17,6.BIFXML,17,63,0.28356753100524656,15,42,0.1633096870064037
110,10,3.BIFXML,10,22,0.07195050100563094,10,20,0.08244318500510417
111,10,1.BIFXML,10,24,0.0944399199943291,8,11,0.05549402700853534
112,10,9.BIFXML,10,23,0.07166643999516964,9,14,0.057210049009881914
113,10,5.BIFXML,10,20,0.07220971399510745,8,10,0.0537010160041973
114,10,7.BIFXML,10,26,0.1112264889961807,10,24,0.0833698229980655
115,10,2.BIFXML,10,20,0.07745622600486968,7,9,0.03987468699051533
116,10,0.BIFXML,10,24,0.06881157899624668,10,17,0.0669525999983307
117,10,8.BIFXML,10,20,0.08769465200020932,10,17,0.06807218299945816
118,10,4.BIFXML,10,25,0.08751999499509111,9,19,0.060113055995316245
119,10,6.BIFXML,10,26,0.08901493399753235,9,15,0.07300813800247852
120,19,3.BIFXML,19,94,0.8554688489966793,18,66,0.41750493401195854
121,19,1.BIFXML,19,78,0.7236380499962252,19,71,0.5671862970048096
122,19,9.BIFXML,19,90,0.749145566005609,17,59,0.4414877590024844
